,,,,,※ 값으로 변경 후 사용,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"4,542",,,,,,,,,,,,,,,"60,210",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"구좌1 - 
영업제한업종","구좌1 - 
영업제한기한","구좌2 - 
영업제한업종","구좌2 - 
영업제한기한",단지명,단지코드(FMS),도시,구,동(법정동),주소(지번),주소(도로명),건물유형,준공연도,건물층수,기준평형,총 세대수,총 인구수,최초 설치일자,판매등급,판매수량,대당단가,4주 금액,프리미엄 여부,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,래미안휴레스트아파트,AAGDY0302002,경기도,고양시 덕양구,성사동,경기도 고양시 덕양구 성사동 860 래미안 휴레스트,"경기도 고양시 덕양구 호국로 860 (성사동, 래미안 휴레스트)",아파트,2009,25,33,1651,4458,2022. 12. 13,A+,41,10000,410000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,성사어울림마을1단지동문아파트,AAGDY0300867,경기도,고양시 덕양구,성사동,경기도 고양시 덕양구 성사동 719 어울림마을1단지아파트,"경기도 고양시 덕양구 고양대로1384번길 19-23 (성사동, 어울림마을1단지아파트)",아파트,1992,18,27,354,956,2019. 1. 23,A,6,7000,42000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,신원당2단지태영아파트,AAGDY0300995,경기도,고양시 덕양구,성사동,경기도 고양시 덕양구 성사동 723 어울림마을2단지아파트,"경기도 고양시 덕양구 고양대로1384번길 29 (성사동, 어울림마을2단지아파트)",아파트,1993,15,24,500,1350,2019. 5. 23,A,8,7000,56000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,신원당대명아파트,AAGDY0301001,경기도,고양시 덕양구,성사동,경기도 고양시 덕양구 성사동 730 어울림마을5단지아파트,"경기도 고양시 덕양구 고양대로1384번길 60 (성사동, 어울림마을5단지아파트)",아파트,1993,16,25,512,1382,2019. 8. 22,A,11,7000,77000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,원당e-편한세상아파트,AAGDY0301566,경기도,고양시 덕양구,성사동,경기도 고양시 덕양구 성사동 869 대림e편한세상아파트,"경기도 고양시 덕양구 호국로 859 (성사동, 대림e편한세상아파트)",아파트,2009,26,33,1486,4012,2018. 1. 11,A+,33,10000,330000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,부동산 업종 제한,2026.2.15,,,고양삼송호반베르디움9단지,AAGDY0901577,경기도,고양시 덕양구,신원동,경기도 고양시 덕양구 신원동 658 신원마을 호반베르디움 9단지,"경기도 고양시 덕양구 권율대로 831 (신원동, 신원마을 호반베르디움 9단지)",아파트,2012,22,33,353,953,2019. 6. 19,A,12,7000,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,부동산 업종 제한,2026.2.15,,,삼송힐스테이트아파트,AAGDY0902263,경기도,고양시 덕양구,신원동,경기도 고양시 덕양구 신원동 653 삼송힐스테이트,"경기도 고양시 덕양구 신원로 35 (신원동, 삼송힐스테이트)",아파트,2013,21,34,429,1158,2019. 11. 27,A,13,7000,91000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,부동산 업종 제한,2026.2.15,,,신원마을5단지삼송우림필유브로힐,AAGDY0901846,경기도,고양시 덕양구,신원동,경기도 고양시 덕양구 신원동 654 신원마을5단지 우림필유아파트,"경기도 고양시 덕양구 신원로 55 (신원동, 신원마을5단지 우림필유아파트)",아파트,2013,23,39,455,1229,2019. 4. 30,A,12,7000,84000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,내과 업종 제한,2026.4.12,,,고양삼송신원마을2단지,AAGDY0903689,경기도,고양시 덕양구,신원동,경기도 고양시 덕양구 신원동 611 신원마을엘에이치2단지,"경기도 고양시 덕양구 오금2로 26 (신원동, 신원마을엘에이치2단지)",아파트,2013,19,20,1495,4037,2018. 3. 2,A+,33,10000,330000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,내과 업종 제한,2026.4.12,,,고양삼송신원마을3단지,AAGDY0903696,경기도,고양시 덕양구,신원동,경기도 고양시 덕양구 신원동 613 신원마을엘에이치3단지,"경기도 고양시 덕양구 오금로 7 (신원동, 신원마을엘에이치3단지)",아파트,2013,20,20,866,2338,2020. 9. 1,A,17,7000,119000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,내과 업종 제한,2026.4.12,,,고양삼송신원마을4단지,AAGDY0903721,경기도,고양시 덕양구,신원동,경기도 고양시 덕양구 신원동 616 신원마을4단지,"경기도 고양시 덕양구 신원로 60 (신원동, 신원마을4단지)",아파트,2016,18,12,1302,3515,2020. 9. 7,A,24,7000,168000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,내과 업종 제한,2026.4.12,,,고양삼송우남퍼스트빌아파트,AAGDY0902496,경기도,고양시 덕양구,신원동,경기도 고양시 덕양구 신원동 609 신원마을1단지 우남퍼스트빌,"경기도 고양시 덕양구 통일로 374 (신원동, 신원마을1단지 우남퍼스트빌)",아파트,2015,27,34,611,1650,2020. 9. 8,A+,14,10000,140000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,고양삼송16단지,AAGDY1003807,경기도,고양시 덕양구,원흥동,경기도 고양시 덕양구 원흥동 677 삼송마을엘에이치16단지,"경기도 고양시 덕양구 세솔로 149 (원흥동, 삼송마을엘에이치16단지)",아파트,2013,18,20,1201,3243,2018. 12. 20,A,23,7000,161000,,,,,,,,,,,,,,,,,,,,,,,,,,,
